,Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
0,0,2016,Honda,Honda Brio S MT,Brio,425000.0,9680.0,Petrol,Mumbai,7,5.0,1,0,2.352941176470588e-06,0.00010330578512396694,0.2,0.14285714285714285,0.14341688853167225,0.03572981648423588,0.13214285714285715,677.1342392683579,0.0
1,1,2012,Nissan,Nissan Sunny XV Diesel,Sunny,325000.0,119120.0,Diesel,Mumbai,11,9.0,0,0,3.076923076923077e-06,8.3948959032908e-06,0.1111111111111111,0.09090909090909091,0.18885896341062866,0.002496281538985508,0.07954545454545456,37.501318259514136,0.0
2,2,2017,Toyota,Toyota Fortuner 2.8 4x2 MT [2016-2020],Fortuner,2650000.0,64593.0,Diesel,Thane,1,4.0,0,0,3.773584905660377e-07,1.5481553728732215e-05,0.25,1.0,0.01941575495867103,0.004977711145437165,1.0,96.64601985485368,0.0
3,3,2017,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4195000.0,25000.0,Diesel,Mumbai,2,4.0,1,1,2.3837902264600714e-07,4e-05,0.25,0.5,0.010692449329190029,0.01356297093649085,0.49375,71.60430612402956,71.60430612402956
4,4,2012,Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX,Verna,475000.0,23800.0,Diesel,Mumbai,14,9.0,1,0,2.1052631578947366e-06,4.201680672268908e-05,0.1111111111111111,0.07142857142857142,0.12787091554676613,0.014269166160733907,0.059821428571428574,109.15085700995765,0.0
5,5,2012,Hyundai,Hyundai i20 Sportz 1.2 BS-IV,i20,335000.0,45000.0,Petrol,Mumbai,14,9.0,0,0,2.9850746268656716e-06,2.2222222222222223e-05,0.1111111111111111,0.07142857142857142,0.18309392406031327,0.007337990811681687,0.059821428571428574,80.37257381496846,0.0
6,6,2019,Toyota,Toyota Glanza V,Glanza,750000.0,19500.0,Petrol,Mumbai,1,2.0,1,1,1.3333333333333334e-06,5.128205128205128e-05,0.5,1.0,0.07941929974380872,0.01751343909261974,1.0,1390.9050688417046,1390.9050688417046
7,7,2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000.0,32000.0,Diesel,Mumbai,2,3.0,0,0,1.8181818181818183e-07,3.125e-05,0.3333333333333333,0.5,0.007142302616256502,0.010499113531311341,0.49375,37.0252489837604,0.0
8,8,2017,Hyundai,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],Grand,565000.0,44329.0,Petrol,Mumbai,14,4.0,0,0,1.7699115044247788e-06,2.2558595952987886e-05,0.25,0.07142857142857142,0.10682194327516759,0.007455773799786171,0.059821428571428574,47.64419328230984,0.0
9,9,2015,Maruti Suzuki,Maruti Suzuki Swift Dzire ZXI,Swift,510000.0,48286.0,Petrol,Mumbai,32,6.0,0,0,1.96078431372549e-06,2.070993662759392e-05,0.16666666666666666,0.03125,0.11880243130557092,0.00680845624964189,0.019140625,15.48210806205399,0.0
10,10,2015,Hyundai,Hyundai Xcent SX 1.2 (O),Xcent,465000.00000000006,24935.0,Petrol,Mumbai,14,6.0,1,0,2.150537634408602e-06,4.010427110487267e-05,0.16666666666666666,0.07142857142857142,0.13071265254400702,0.013599481998983465,0.059821428571428574,106.34002899631915,0.0
11,11,2016,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1485000.0,59758.0,Diesel,Mumbai,1,5.0,0,0,6.734006734006734e-07,1.673416111650323e-05,0.2,1.0,0.03799739495725832,0.005416318050671997,1.0,205.80597618551135,0.0
12,12,2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,610000.0,40119.0,Petrol,Mumbai,32,4.0,0,0,1.6393442622950819e-06,2.4925845609312294e-05,0.25,0.03125,0.0986266466940124,0.008284678415721964,0.019140625,15.639614258970745,0.0
13,13,2016,Renault,Renault Pulse RxL Petrol [2015-2017],Pulse,365000.0,22625.0,Petrol,Mumbai,15,5.0,1,0,2.7397260273972604e-06,4.419889502762431e-05,0.2,0.06666666666666667,0.1676941614122106,0.015033235579228926,0.055,138.65422085740516,0.0
